,unique_ide,mean_lst,max_lst,min_lst,sd_lst,latitude,longitude
0,7296/006_2018,299.7342424242424,299.7342424242424,299.7342424242424,1.1928344115761897e-05,37.7265301926265,-122.47753839256524
1,6309/004A_2018,301.8815308880311,302.9597683397686,300.1593600000001,1.3471243703109845,37.70878543128648,-122.41111812311615
2,3705/052_2018,301.34670994050583,301.3270042194094,301.3270042194094,6.506369517688307e-06,37.78410039545002,-122.40614458995272
3,3783/009_2018,303.88638783269977,303.88638783269977,303.88638783269977,0.0,37.77102201208567,-122.40354625343198
4,3781/003_2018,303.9212411371349,303.9268679245282,303.88638783269977,0.015086039179563488,37.771027808862186,-122.4073142024732
5,3507/040_2018,302.56356159602876,303.9268679245282,301.88266666666686,0.9896446785068818,37.77522832084446,-122.41746613166065
6,4347A/004_2018,302.72939393939384,302.72939393939384,302.72939393939384,0.0,37.74784316692,-122.39457521484064
7,3833/016_2018,303.0289795512298,303.88638783269977,299.8885925925928,1.8060197968161376,37.76698262559097,-122.39704516805462
8,3706/096_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78539565329618,-122.40439104307563
9,5286A/020_2018,303.7998479087453,303.7998479087453,303.7998479087453,0.0,37.744204780457984,-122.40145224607866
10,3707/052_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.787940788265466,-122.40193453576686
11,3803/005_2018,300.33751824817534,300.33751824817534,300.33751824817534,0.0,37.77632716239665,-122.39179682013236
12,0020/001_2018,297.3564773872483,299.8510077519379,297.06386100386106,0.8012483543059842,37.80712311402733,-122.41305809550994
13,3960/001_2018,303.8803100775194,303.8803100775194,303.8803100775194,3.2531847588441535e-06,37.765215962819184,-122.40600697104732
14,3716/021_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79226514500504,-122.39284751379012
15,3508/001_2018,302.15875843896237,302.3830830039525,301.88266666666686,0.24226301767588038,37.77673622720985,-122.4163949301502
16,4343/002_2018,302.72939393939384,302.72939393939384,302.72939393939384,0.0,37.7477721063829,-122.39703171735736
17,4105/009_2018,303.8803100775194,303.8803100775194,303.8803100775194,3.4119689598080286e-06,37.759196403274565,-122.39172904694244
18,3536/001_2018,301.93952191235076,301.93952191235076,301.93952191235076,0.0,37.76913198134277,-122.42802957153296
19,0231/023_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79479859374943,-122.39847275212163
20,3744/005_2018,293.15658536585374,293.15658536585374,293.15658536585374,0.0,37.78980329858977,-122.38975739444082
21,3744/002-A_2018,293.15658536585374,293.15658536585374,293.15658536585374,0.0,37.78980329858977,-122.38975739444082
22,0137/001_2018,294.79331083357874,297.06386100386106,290.91198443579765,2.959333726453309,37.800220930572415,-122.3995690179267
23,0037/001_2018,297.06386100386106,297.06386100386106,297.06386100386106,3.596531072929624e-06,37.80609109541972,-122.40592454022764
24,3957/004_2018,303.8803100775194,303.8803100775194,303.8803100775194,0.0,37.76538838314329,-122.4031111222034
25,3957/002_2018,303.8803100775194,303.8803100775194,303.8803100775194,0.0,37.76538838314329,-122.4031111222034
26,3741/046_2018,293.15658536585374,293.15658536585374,293.15658536585374,0.0,37.79086006199022,-122.3910248437018
27,8711/023_2018,294.96825594125636,299.36666666666673,291.0455468750002,4.048260188430171,37.77407485491494,-122.39066845798818
28,3737/030_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.78853002436857,-122.39514429356838
29,8711/028_2018,299.36666666666673,299.36666666666673,299.36666666666673,0.0,37.77239242751408,-122.39079549283711
30,3979/001_2018,303.8803100775194,303.8803100775194,303.8803100775194,0.0,37.76416916792768,-122.40202096067796
31,0232/016_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79494825977666,-122.39729812109896
32,4570/026_2018,300.9600489678995,302.72939393939384,299.62007272727277,1.50529365906086,37.74144202068825,-122.38353122286004
33,0697/037_2018,301.1990476190477,301.1990476190477,301.1990476190477,0.0,37.78573381032121,-122.4256054429102
34,3746/669_2018,293.15658536585374,293.15658536585374,293.15658536585374,0.0,37.78814529694315,-122.39118192015876
35,7255/002_2018,299.73858093024796,299.7469607843135,299.7342424242424,0.0055072114727284195,37.73300635423948,-122.4895859298489
36,3751/157_2018,300.33751824817534,300.33751824817534,300.33751824817534,0.0,37.78268783037402,-122.3983458807392
37,3780/006_2018,303.88638783269977,303.88638783269977,303.88638783269977,0.0,37.772014986154005,-122.4051932117872
38,8707/003_2018,299.36666666666673,299.36666666666673,299.36666666666673,0.0,37.77236392868907,-122.3970409703867
39,3713/007_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79337073068709,-122.39423328175292
40,3924/008_2018,303.7212151116523,304.5536964980545,303.26286821705406,0.5589450416268157,37.766810706065286,-122.41205558743756
41,0107/007_2018,297.06386100386106,297.06386100386106,297.06386100386106,0.0,37.80179145618413,-122.40230896167104
42,0204/019_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79551432933224,-122.39994354466889
43,4224/045_2018,303.53618320610667,303.53618320610667,303.53618320610667,4.078082914923468e-06,37.75435590118809,-122.39381491238936
44,3787/031_2018,300.33751824817534,300.33751824817534,300.33751824817534,0.0,37.77861192346356,-122.39528428266088
45,4356/001_2018,300.76165308776916,303.53618320610667,299.8891240875916,1.5792229228688204,37.74965718205142,-122.38698912690808
46,0108/007_2018,297.06386100386106,297.06386100386106,297.06386100386106,0.0,37.80191628321767,-122.40111961059335
47,5431A/001F_2018,302.4860856759074,302.63555555555564,302.3990697674418,0.11703011447325866,37.72499186803046,-122.39722848491505
48,4021/002-A_2018,304.6936044850821,304.79952569169944,304.5536964980545,0.12043121757766477,37.76103378646514,-122.41150601236548
49,4343/004_2018,302.86454270012615,303.7998479087453,302.72939393939384,0.3540193740367622,37.74758628993012,-122.39886570239496
50,0328/002_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78609997807792,-122.40598614398972
51,4316/001_2018,303.53618320610667,303.53618320610667,303.53618320610667,4.404832986371046e-06,37.75100158652069,-122.38907248428636
52,0010/002_2018,299.8510077519379,299.8510077519379,299.8510077519379,0.0,37.80717479757394,-122.42017425639452
53,3905/002_2018,303.9268679245282,303.9268679245282,303.9268679245282,0.0,37.76858562399487,-122.4091297358678
